"1_adelsmand;adelsmand;adelsmand;;substantiv fælleskøn;noun;nobleman;nobleman;;;;"
"1_adelsmand;adelsmand;adelsmændene;;substantiv fælleskøn flertal bestemt;noun plural definite;nobleman;the noblemen;;;;"
"1_adelsmand;adelsmand;adelsmænd;;substantiv fælleskøn flertal ubestemt;noun plural indefinite;nobleman;noblemen;;;;"
"1_adelsmand;adelsmand;adelsmanden;;substantiv fælleskøn ental bestemt;noun singular definite;nobleman;the nobleman;;;;"
1_adelsmærke;adelsmærke;adelsmærke;;substantiv;noun;hallmark;hallmark;;;;
"1_adelsmærke;adelsmærke;adelsmærkerne;;substantiv intetkøn flertal bestemt;noun plural definite;hallmark;the hallmarks;;;;"
"1_adelsmærke;adelsmærke;adelsmærker;;substantiv intetkøn flertal ubestemt;noun plural indefinite;hallmark;hallmarks;;;;"
"1_adelsmærke;adelsmærke;adelsmærket;;substantiv intetkøn ental bestemt;noun singular definite;hallmark;the hallmark;;;;"
"1_adfærd;adfærd;adfærd;amerikansk;substantiv fælleskøn;noun;behavior;behavior;american;;;"
"1_adfærd;adfærd;adfærd;britisk;substantiv fælleskøn;noun;behaviour;behaviour;british;;;"
"1_adfærd;adfærd;adfærdene;;substantiv fælleskøn flertal bestemt;noun plural definite;behaviour;the behaviors;;;;"
